startStationId,endStationId,totalDistance,milestoneCount,mileStoneLats,mileStoneLngs
65,70,940,20,"[37.7710077, '37.7713270402', '37.7716463805', '37.7719657207', '37.772285061', '37.7726044012', '37.7729237414', '37.7732430817', '37.7735624219', '37.7738817622', '37.7742011024', '37.7745204426', '37.7748397829', '37.7751591231', '37.7754784634', '37.7757978036', '37.7761171438', '37.7764364841', '37.7767558243', 37.7768644]","[-122.4026538, '-122.402253042', '-122.401852284', '-122.401451526', '-122.401050768', '-122.40065001', '-122.400249253', '-122.399848495', '-122.399447737', '-122.399046979', '-122.398646221', '-122.398245463', '-122.397844705', '-122.397443947', '-122.397043189', '-122.396642431', '-122.396241674', '-122.395840916', '-122.395440158', -122.3953039]"
50,60,1444,30,"[37.7954657, '37.7958311459', '37.7961965918', '37.7965620378', '37.7969274837', '37.7972929296', '37.7976583755', '37.7980238214', '37.7983892674', '37.7987547133', '37.7991201592', '37.7997349856', '37.8000909712', '37.8004469567', '37.8008029423', '37.8011589279', '37.8015149135', '37.801870899', '37.8022268846', '37.8025828702', '37.8029388558', '37.8032948413', '37.8036508269', '37.8040068125', '37.8043627981', '37.8047187837', '37.8050747692', '37.8054307548', '37.8049684571', 37.8050687]","[-122.3940762, '-122.394407566', '-122.394738932', '-122.395070299', '-122.395401665', '-122.395733031', '-122.396064397', '-122.396395764', '-122.39672713', '-122.397058496', '-122.397389862', '-122.397801159', '-122.398146718', '-122.398492277', '-122.398837836', '-122.399183394', '-122.399528953', '-122.399874512', '-122.400220071', '-122.40056563', '-122.400911189', '-122.401256748', '-122.401602307', '-122.401947866', '-122.402293425', '-122.402638983', '-122.402984542', '-122.403330101', '-122.403594414', -122.4034778]"
69,65,831,18,"[37.7763205, '37.7760008369', '37.7756811739', '37.7753615108', '37.7750418478', '37.7747221847', '37.7744025217', '37.7740828586', '37.7737631955', '37.7734435325', '37.7731238694', '37.7728042064', '37.7724845433', '37.7721648803', '37.7718452172', '37.7715255542', '37.7712058911', 37.7710077]","[-122.3959992, '-122.396399597', '-122.396799994', '-122.397200391', '-122.397600788', '-122.398001186', '-122.398401583', '-122.39880198', '-122.399202377', '-122.399602774', '-122.400003171', '-122.400403568', '-122.400803965', '-122.401204362', '-122.40160476', '-122.402005157', '-122.402405554', -122.4026538]"
77,64,1584,33,"[37.7896945, '37.7900133785', '37.790332257', '37.7906511355', '37.790970014', '37.7907399633', '37.7904206265', '37.7901012898', '37.7897819531', '37.7894626163', '37.7891432796', '37.7888239429', '37.7885046061', '37.7882387755', '37.7879218511', '37.7876049266', '37.7872880022', '37.7869710777', '37.7864743714', '37.7861551429', '37.7858359143', '37.7855166857', '37.7851974571', '37.7848782286', '37.784559', '37.7842397714', '37.7839205429', '37.7836013143', '37.7832820857', '37.7829628571', '37.7826436286', '37.7823244', 37.7823244]","[-122.400901, '-122.400498126', '-122.400095252', '-122.399692379', '-122.399289505', '-122.398775412', '-122.398374123', '-122.397972835', '-122.397571547', '-122.397170259', '-122.39676897', '-122.396367682', '-122.395966394', '-122.396432974', '-122.396835348', '-122.397237722', '-122.397640096', '-122.398042471', '-122.397867007', '-122.397466214', '-122.397065421', '-122.396664629', '-122.396263836', '-122.395863043', '-122.39546225', '-122.395061457', '-122.394660664', '-122.394259871', '-122.393859079', '-122.393458286', '-122.393057493', '-122.3926567', -122.3926567]"
60,74,1474,31,"[37.8048372, '37.8044712842', '37.8041053684', '37.8037394526', '37.8033735368', '37.803007621', '37.8026417052', '37.8022757894', '37.8019098736', '37.8015439578', '37.8011780419', '37.8008121261', '37.8004462103', '37.8000802945', '37.7997143787', '37.7993484629', '37.7989825471', '37.7986166313', '37.7982507155', '37.7978847997', '37.7975188839', '37.7971529681', '37.7967870523', '37.7964211365', '37.7960552207', '37.7956893049', '37.7953233891', '37.7949574733', '37.7945979857', '37.7941805', 37.7941805]","[-122.4031564, '-122.402828848', '-122.402501297', '-122.402173745', '-122.401846193', '-122.401518642', '-122.40119109', '-122.400863538', '-122.400535986', '-122.400208435', '-122.399880883', '-122.399553331', '-122.39922578', '-122.398898228', '-122.398570676', '-122.398243125', '-122.397915573', '-122.397588021', '-122.397260469', '-122.396932918', '-122.396605366', '-122.396277814', '-122.395950263', '-122.395622711', '-122.395295159', '-122.394967608', '-122.394640056', '-122.394312504', '-122.394652586', '-122.3943779', -122.3943779]"
64,77,1161,25,"[37.7823244, '37.7826414788', '37.7829585575', '37.7832756363', '37.783592715', '37.7839097938', '37.7842268725', '37.7845439513', '37.78486103', '37.7851781088', '37.7854951875', '37.7858122663', '37.7861293451', '37.7864464238', '37.7867635026', '37.7870805813', '37.7873976601', '37.7877147388', '37.7880318176', '37.7883488963', '37.7886659751', '37.7889830538', '37.7895719362', '37.7898944725', 37.7896945]","[-122.3926567, '-122.393059369', '-122.393462039', '-122.393864708', '-122.394267378', '-122.394670047', '-122.395072716', '-122.395475386', '-122.395878055', '-122.396280725', '-122.396683394', '-122.397086064', '-122.397488733', '-122.397891402', '-122.398294072', '-122.398696741', '-122.399099411', '-122.39950208', '-122.399904749', '-122.400307419', '-122.400710088', '-122.401112758', '-122.401052449', '-122.400653899', -122.400901]"
70,50,2579,53,"[37.7767147, '37.7770044834', '37.7772942667', '37.7775840501', '37.7778738334', '37.7781636168', '37.7784534001', '37.7787431835', '37.7790329668', '37.7793227502', '37.7796125335', '37.7799023169', '37.7801921002', '37.7804818836', '37.7807716669', '37.7810614503', '37.7813512336', '37.781641017', '37.7821975823', '37.7825976645', '37.7829977468', '37.783397829', '37.7837979113', '37.7841979935', '37.7845980758', '37.784998158', '37.7853982403', '37.7857983226', '37.7861984048', '37.7865984871', '37.7869985693', '37.7873986516', '37.7877987338', '37.7881988161', '37.7885988984', '37.7889989806', '37.7893990629', '37.7897991451', '37.7901992274', '37.7905993096', '37.7909993919', '37.7913994741', '37.7917995564', '37.7921996387', '37.7925997209', '37.7929998032', '37.7933998854', '37.7937999677', '37.7942000499', '37.7946001322', '37.7950002145', '37.7954002967', 37.7954163]","[-122.3951274, '-122.394728797', '-122.394330194', '-122.39393159', '-122.393532987', '-122.393134384', '-122.392735781', '-122.392337178', '-122.391938574', '-122.391539971', '-122.391141368', '-122.390742765', '-122.390344162', '-122.389945558', '-122.389546955', '-122.389148352', '-122.388749749', '-122.388351146', '-122.388309061', '-122.388482222', '-122.388655383', '-122.388828544', '-122.389001705', '-122.389174866', '-122.389348027', '-122.389521188', '-122.389694349', '-122.38986751', '-122.390040671', '-122.390213832', '-122.390386993', '-122.390560154', '-122.390733315', '-122.390906476', '-122.391079637', '-122.391252798', '-122.391425959', '-122.39159912', '-122.391772281', '-122.391945442', '-122.392118603', '-122.392291764', '-122.392464925', '-122.392638086', '-122.392811247', '-122.392984408', '-122.393157569', '-122.39333073', '-122.393503891', '-122.393677052', '-122.393850213', '-122.394023374', -122.3940303]"
61,50,1988,41,"[37.7804781, '37.7808530481', '37.7810757962', '37.7812985443', '37.7815212924', '37.7817440405', '37.7821975823', '37.7825976645', '37.7829977468', '37.783397829', '37.7837979113', '37.7841979935', '37.7845980758', '37.784998158', '37.7853982403', '37.7857983226', '37.7861984048', '37.7865984871', '37.7869985693', '37.7873986516', '37.7877987338', '37.7881988161', '37.7885988984', '37.7889989806', '37.7893990629', '37.7897991451', '37.7901992274', '37.7905993096', '37.7909993919', '37.7913994741', '37.7917995564', '37.7921996387', '37.7925997209', '37.7929998032', '37.7933998854', '37.7937999677', '37.7942000499', '37.7946001322', '37.7950002145', '37.7954002967', 37.7954163]","[-122.3903479, '-122.390083387', '-122.389624074', '-122.389164761', '-122.388705448', '-122.388246135', '-122.388309061', '-122.388482222', '-122.388655383', '-122.388828544', '-122.389001705', '-122.389174866', '-122.389348027', '-122.389521188', '-122.389694349', '-122.38986751', '-122.390040671', '-122.390213832', '-122.390386993', '-122.390560154', '-122.390733315', '-122.390906476', '-122.391079637', '-122.391252798', '-122.391425959', '-122.39159912', '-122.391772281', '-122.391945442', '-122.392118603', '-122.392291764', '-122.392464925', '-122.392638086', '-122.392811247', '-122.392984408', '-122.393157569', '-122.39333073', '-122.393503891', '-122.393677052', '-122.393850213', '-122.394023374', -122.3940303]"
74,60,1641,34,"[37.7941805, '37.7948001593', '37.7951344185', '37.7954686778', '37.795727554', '37.796086708', '37.796445862', '37.7968050161', '37.7971641701', '37.7975233241', '37.7978824781', '37.7982416321', '37.7986007861', '37.7989599401', '37.7993190941', '37.7996782482', '37.8000374022', '37.8003965562', '37.8007557102', '37.8011148642', '37.8014740182', '37.8018331722', '37.8021923262', '37.8025514803', '37.8029106343', '37.8032697883', '37.8036289423', '37.8039880963', '37.8043472503', '37.8047064043', '37.8050655584', '37.8054247124', '37.8049684571', 37.8050687]","[-122.3943779, '-122.394424952', '-122.394050804', '-122.393676656', '-122.394129348', '-122.394469797', '-122.394810245', '-122.395150693', '-122.395491142', '-122.39583159', '-122.396172038', '-122.396512486', '-122.396852935', '-122.397193383', '-122.397533831', '-122.39787428', '-122.398214728', '-122.398555176', '-122.398895625', '-122.399236073', '-122.399576521', '-122.399916969', '-122.400257418', '-122.400597866', '-122.400938314', '-122.401278763', '-122.401619211', '-122.401959659', '-122.402300108', '-122.402640556', '-122.402981004', '-122.403321452', '-122.403594414', -122.4034778]"
50,61,2248,46,"[37.7954657, '37.7958316211', '37.7957110268', '37.7953232536', '37.7949354803', '37.7945477071', '37.7941599339', '37.7937721607', '37.7933843874', '37.7929966142', '37.792608841', '37.7922210678', '37.7918332945', '37.7914455213', '37.7910577481', '37.7906699749', '37.7902822016', '37.7898944284', '37.7895066552', '37.789118882', '37.7887311087', '37.7883433355', '37.7879555623', '37.7875677891', '37.7871800158', '37.7867922426', '37.7864044694', '37.7860166962', '37.785628923', '37.7852411497', '37.7848533765', '37.7844656033', '37.7843165758', '37.7838702516', '37.7834239274', '37.7829776032', '37.782531279', '37.7820849548', '37.7816386306', '37.7811923064', '37.7807459822', '37.7805182838', '37.7801834676', '37.7798486515', '37.780261269', 37.7804781]","[-122.3940762, '-122.394412582', '-122.394224837', '-122.393997774', '-122.393770711', '-122.393543649', '-122.393316586', '-122.393089523', '-122.39286246', '-122.392635397', '-122.392408334', '-122.392181272', '-122.391954209', '-122.391727146', '-122.391500083', '-122.39127302', '-122.391045957', '-122.390818895', '-122.390591832', '-122.390364769', '-122.390137706', '-122.389910643', '-122.38968358', '-122.389456517', '-122.389229455', '-122.389002392', '-122.388775329', '-122.388548266', '-122.388321203', '-122.38809414', '-122.387867078', '-122.387640015', '-122.388253695', '-122.388305191', '-122.388356686', '-122.388408182', '-122.388459677', '-122.388511173', '-122.388562668', '-122.388614163', '-122.388665659', '-122.389029513', '-122.389405726', '-122.38978194', '-122.390076183', -122.3903479]"
70,51,2322,48,"[37.7767147, '37.7770044834', '37.7772942667', '37.7775840501', '37.7778738334', '37.7781636168', '37.7784534001', '37.7787431835', '37.7790329668', '37.7793227502', '37.7796125335', '37.7799023169', '37.7801921002', '37.7804818836', '37.7807716669', '37.7810614503', '37.7813512336', '37.781641017', '37.7822160848', '37.7826346695', '37.7830532543', '37.783471839', '37.7838904238', '37.7843090086', '37.7847275933', '37.7851461781', '37.7855647628', '37.7859833476', '37.7864019323', '37.7868205171', '37.7872391019', '37.7876576866', '37.7880762714', '37.7884948561', '37.7889134409', '37.7893320257', '37.7897506104', '37.7901691952', '37.7905877799', '37.7910063647', '37.7914249495', '37.7918435342', '37.792262119', '37.7926807037', '37.7919284583', '37.7914949167', '37.7913384968', 37.7914669]","[-122.3951274, '-122.394728797', '-122.394330194', '-122.39393159', '-122.393532987', '-122.393134384', '-122.392735781', '-122.392337178', '-122.391938574', '-122.391539971', '-122.391141368', '-122.390742765', '-122.390344162', '-122.389945558', '-122.389546955', '-122.389148352', '-122.388749749', '-122.388351146', '-122.388246211', '-122.388356522', '-122.388466833', '-122.388577144', '-122.388687455', '-122.388797766', '-122.388908077', '-122.389018388', '-122.389128699', '-122.38923901', '-122.389349321', '-122.389459633', '-122.389569944', '-122.389680255', '-122.389790566', '-122.389900877', '-122.390011188', '-122.390121499', '-122.39023181', '-122.390342121', '-122.390452432', '-122.390562743', '-122.390673054', '-122.390783365', '-122.390893676', '-122.391003987', '-122.391069447', '-122.390904794', '-122.390891552', -122.3910297]"
74,61,2106,44,"[37.7941805, '37.7938599595', '37.7935394189', '37.7935506623', '37.7938696245', '37.7941885868', '37.793512598', '37.793117296', '37.792721994', '37.7923266921', '37.7919313901', '37.7915360881', '37.7911407861', '37.7907454841', '37.7903501821', '37.7899548802', '37.7895595782', '37.7891642762', '37.7887689742', '37.7883736722', '37.7879783702', '37.7875830682', '37.7871877663', '37.7867924643', '37.7863971623', '37.7860018603', '37.7856065583', '37.7852112563', '37.7848159544', '37.7843165758', '37.7838702516', '37.7834239274', '37.7829776032', '37.782531279', '37.7820849548', '37.7816386306', '37.7811923064', '37.7807459822', '37.7805182838', '37.7801834676', '37.7798486515', '37.780261269', '37.7805801381', 37.7804781]","[-122.3943779, '-122.393981549', '-122.393585197', '-122.392807247', '-122.392409794', '-122.392012342', '-122.392165439', '-122.391968778', '-122.391772117', '-122.391575456', '-122.391378795', '-122.391182135', '-122.390985474', '-122.390788813', '-122.390592152', '-122.390395491', '-122.39019883', '-122.390002169', '-122.389805508', '-122.389608847', '-122.389412186', '-122.389215525', '-122.389018864', '-122.388822204', '-122.388625543', '-122.388428882', '-122.388232221', '-122.38803556', '-122.387838899', '-122.388253695', '-122.388305191', '-122.388356686', '-122.388408182', '-122.388459677', '-122.388511173', '-122.388562668', '-122.388614163', '-122.388665659', '-122.389029513', '-122.389405726', '-122.38978194', '-122.390076183', '-122.390475767', -122.3903479]"
51,70,2031,42,"[37.7914669, '37.7909918371', '37.7905761742', '37.7901605113', '37.7897448484', '37.7893291854', '37.7889135225', '37.7884978596', '37.7880821967', '37.7876665338', '37.7872508709', '37.786835208', '37.7864195451', '37.7860038821', '37.7855882192', '37.7851725563', '37.7847568934', '37.7843412305', '37.7839255676', '37.7835099047', '37.7830942418', '37.7826785789', '37.7822629159', '37.781847253', '37.7815151111', '37.7812162222', '37.7809173333', '37.7806184444', '37.7803195556', '37.7800206667', '37.7797217778', '37.7794228889', '37.779124', '37.7788251111', '37.7785262222', '37.7782273333', '37.7779284444', '37.7776295556', '37.7773306667', '37.7770317778', '37.7767328889', 37.7768644]","[-122.3910297, '-122.390722578', '-122.390618856', '-122.390515134', '-122.390411413', '-122.390307691', '-122.390203969', '-122.390100247', '-122.389996525', '-122.389892803', '-122.389789082', '-122.38968536', '-122.389581638', '-122.389477916', '-122.389374194', '-122.389270472', '-122.389166751', '-122.389063029', '-122.388959307', '-122.388855585', '-122.388751863', '-122.388648141', '-122.38854442', '-122.388440698', '-122.388847346', '-122.389262291', '-122.389677237', '-122.390092183', '-122.390507128', '-122.390922074', '-122.39133702', '-122.391751965', '-122.392166911', '-122.392581857', '-122.392996802', '-122.393411748', '-122.393826693', '-122.394241639', '-122.394656585', '-122.39507153', '-122.395486476', -122.3953039]"
60,50,1426,30,"[37.8048372, '37.8044958552', '37.8041545103', '37.8038131655', '37.8034718207', '37.8031304759', '37.8031849', '37.8027651194', '37.8023977389', '37.8020303583', '37.8016629778', '37.8012955972', '37.8009282166', '37.8005608361', '37.8001934555', '37.799826075', '37.7994586944', '37.7990913138', '37.7987239333', '37.7983086123', '37.7979447247', '37.797580837', '37.7972169493', '37.7968530617', '37.796489174', '37.7961252863', '37.7957613987', '37.795397511', '37.7950384', 37.795276]","[-122.4031564, '-122.4027904', '-122.4024244', '-122.4020584', '-122.4016924', '-122.4013264', '-122.400756457', '-122.400473279', '-122.400145759', '-122.399818238', '-122.399490718', '-122.399163197', '-122.398835676', '-122.398508156', '-122.398180635', '-122.397853115', '-122.397525594', '-122.397198073', '-122.396870553', '-122.396490361', '-122.396156022', '-122.395821682', '-122.395487343', '-122.395153004', '-122.394818665', '-122.394484326', '-122.394149986', '-122.393815647', '-122.394191757', -122.3939017]"
